id,stage,phon,phon_str
anne,1,['AA'],AA
anne,1,"['AA', 'N']",AA_N
anne,1,"['AA', 'R']",AA_R
anne,1,"['AE', 'L', 'AH', 'S', 'T', 'EH', 'R']",AE_L_AH_S_T_EH_R
anne,1,"['AE', 'N']",AE_N
anne,1,"['AE', 'N', 'D']",AE_N_D
anne,1,"['AE', 'N', 'S']",AE_N_S
anne,1,"['AE', 'T']",AE_T
anne,1,['AH'],AH
anne,1,"['AH', 'G', 'EH', 'N']",AH_G_EH_N
anne,1,"['AH', 'M']",AH_M
anne,1,"['AH', 'N']",AH_N
anne,1,"['AH', 'P']",AH_P
anne,1,"['AH', 'V']",AH_V
anne,1,"['AH', 'W', 'EY']",AH_W_EY
anne,1,"['AO', 'F']",AO_F
anne,1,"['AO', 'L']",AO_L
anne,1,"['AO', 'L', 'R', 'AY', 'T']",AO_L_R_AY_T
anne,1,"['AO', 'R', 'AH', 'N', 'JH']",AO_R_AH_N_JH
anne,1,['AY'],AY
anne,1,"['AY', 'Z']",AY_Z
anne,1,"['B', 'AA', 'R']",B_AA_R
anne,1,"['B', 'AA', 'T', 'AH', 'L']",B_AA_T_AH_L
anne,1,"['B', 'AA', 'T', 'AH', 'M']",B_AA_T_AH_M
anne,1,"['B', 'AE', 'G']",B_AE_G
anne,1,"['B', 'AE', 'K']",B_AE_K
anne,1,"['B', 'AE', 'TH']",B_AE_TH
anne,1,"['B', 'AH', 'L', 'UW', 'N']",B_AH_L_UW_N
anne,1,"['B', 'AH', 'N', 'AE', 'N', 'AH', 'Z']",B_AH_N_AE_N_AH_Z
anne,1,"['B', 'AH', 'T', 'AH', 'N']",B_AH_T_AH_N
anne,1,"['B', 'AO', 'L']",B_AO_L
anne,1,"['B', 'AO', 'L', 'Z']",B_AO_L_Z
anne,1,"['B', 'AY']",B_AY
anne,1,"['B', 'AY', 'T']",B_AY_T
anne,1,"['B', 'EH', 'D']",B_EH_D
anne,1,"['B', 'EY', 'B', 'IY']",B_EY_B_IY
anne,1,"['B', 'EY', 'B', 'IY', 'Z']",B_EY_B_IY_Z
anne,1,"['B', 'IH', 'B']",B_IH_B
anne,1,"['B', 'IH', 'G']",B_IH_G
anne,1,"['B', 'IH', 'N']",B_IH_N
anne,1,"['B', 'IH', 'S', 'K', 'AH', 'T']",B_IH_S_K_AH_T
anne,1,"['B', 'L', 'UW']",B_L_UW
anne,1,"['B', 'L', 'UW', 'Z']",B_L_UW_Z
anne,1,"['B', 'OW', 'L']",B_OW_L
anne,1,"['B', 'OW', 'T']",B_OW_T
anne,1,"['B', 'OY']",B_OY
anne,1,"['B', 'OY', 'Z']",B_OY_Z
anne,1,"['B', 'R', 'AH', 'SH']",B_R_AH_SH
anne,1,"['B', 'R', 'EH', 'D']",B_R_EH_D
anne,1,"['B', 'R', 'EY', 'K']",B_R_EY_K
anne,1,"['CH', 'AO', 'K', 'L', 'AH', 'T']",CH_AO_K_L_AH_T
anne,1,"['CH', 'AO', 'K', 'L', 'AH', 'T', 'S']",CH_AO_K_L_AH_T_S
anne,1,"['CH', 'EH', 'R']",CH_EH_R
anne,1,"['CH', 'IH', 'P', 'S']",CH_IH_P_S
anne,1,"['CH', 'IY', 'Z']",CH_IY_Z
anne,1,"['CH', 'UW']",CH_UW
anne,1,"['D', 'AA', 'L', 'IY']",D_AA_L_IY
anne,1,"['D', 'AA', 'L', 'IY', 'Z']",D_AA_L_IY_Z
anne,1,"['D', 'AE', 'D', 'IY']",D_AE_D_IY
anne,1,"['D', 'AH', 'M', 'IY']",D_AH_M_IY
anne,1,"['D', 'AH', 'M', 'P', 'T', 'IY']",D_AH_M_P_T_IY
anne,1,"['D', 'AH', 'N']",D_AH_N
anne,1,"['D', 'AO', 'G', 'IY']",D_AO_G_IY
anne,1,"['D', 'AW', 'N']",D_AW_N
anne,1,"['D', 'AW', 'N', 'D', 'AW', 'N', 'D', 'AW', 'N']",D_AW_N_D_AW_N_D_AW_N
anne,1,"['D', 'EY', 'V', 'IY']",D_EY_V_IY
anne,1,"['D', 'IH', 'N', 'ER']",D_IH_N_ER
anne,1,"['D', 'IH', 'R']",D_IH_R
anne,1,"['D', 'OW', 'N', 'T']",D_OW_N_T
anne,1,"['D', 'R', 'AA', 'P']",D_R_AA_P
anne,1,"['D', 'R', 'AA', 'P', 'T']",D_R_AA_P_T
anne,1,"['D', 'R', 'AY', 'V', 'IH', 'NG']",D_R_AY_V_IH_NG
anne,1,"['D', 'R', 'EH', 'S']",D_R_EH_S
anne,1,"['D', 'R', 'IH', 'NG', 'K']",D_R_IH_NG_K
anne,1,"['D', 'UW']",D_UW
anne,1,"['D', 'UW', 'IH', 'NG']",D_UW_IH_NG
anne,1,"['DH', 'AE', 'T']",DH_AE_T
anne,1,"['DH', 'AE', 'T', 'S']",DH_AE_T_S
anne,1,"['DH', 'AH']",DH_AH
anne,1,"['DH', 'EH', 'M']",DH_EH_M
anne,1,"['DH', 'EH', 'R']",DH_EH_R
anne,1,"['DH', 'EY']",DH_EY
anne,1,"['DH', 'IH', 'S']",DH_IH_S
anne,1,"['DH', 'IY', 'Z']",DH_IY_Z
anne,1,"['EH', 'G']",EH_G
anne,1,"['EH', 'G', 'Z']",EH_G_Z
anne,1,"['EH', 'L', 'AH', 'F', 'AH', 'N', 'T']",EH_L_AH_F_AH_N_T
anne,1,"['EH', 'L', 'IY']",EH_L_IY
anne,1,"['EH', 'L', 'S']",EH_L_S
anne,1,"['F', 'AH', 'N', 'IY']",F_AH_N_IY
anne,1,"['F', 'AO', 'R']",F_AO_R
anne,1,"['F', 'AY', 'N', 'D']",F_AY_N_D
anne,1,"['F', 'AY', 'T', 'IH', 'NG']",F_AY_T_IH_NG
anne,1,"['F', 'EY', 'S']",F_EY_S
anne,1,"['F', 'IH', 'SH']",F_IH_SH
anne,1,"['F', 'IH', 'SH', 'IY']",F_IH_SH_IY
anne,1,"['F', 'IH', 'T']",F_IH_T
anne,1,"['F', 'IY', 'T']",F_IY_T
anne,1,"['F', 'L', 'AO', 'R']",F_L_AO_R
anne,1,"['F', 'UH', 'T']",F_UH_T
anne,1,"['F', 'UH', 'T', 'B', 'AO', 'L']",F_UH_T_B_AO_L
anne,1,"['F', 'UW', 'D']",F_UW_D
anne,1,"['G', 'AA', 'T']",G_AA_T
anne,1,"['G', 'AO', 'N']",G_AO_N
anne,1,"['G', 'OW']",G_OW
anne,1,"['G', 'OW', 'Z']",G_OW_Z
anne,1,"['G', 'R', 'AE', 'M', 'AA']",G_R_AE_M_AA
anne,1,"['G', 'R', 'AE', 'N', 'D', 'AE', 'D']",G_R_AE_N_D_AE_D
anne,1,"['G', 'R', 'EY', 'P', 'S']",G_R_EY_P_S
anne,1,"['HH', 'AE', 'N', 'D']",HH_AE_N_D
anne,1,"['HH', 'AE', 'N', 'D', 'Z']",HH_AE_N_D_Z
