id,stage,phon,phon_str
anne,1,['AH'],AH
anne,2,['OW'],OW
anne,2,['W' 'EH' 'N'],W_EH_N
anne,2,['Y' 'UW'],Y_UW
anne,3,['AA'],AA
anne,3,['AA' 'N'],AA_N
anne,3,['AA' 'R'],AA_R
anne,3,['AE' 'N'],AE_N
anne,3,['AE' 'N' 'D'],AE_N_D
anne,3,['AE' 'N' 'T'],AE_N_T
anne,3,['AE' 'T'],AE_T
anne,3,['AH' 'AH'],AH_AH
anne,3,['AH' 'N'],AH_N
anne,3,['AY'],AY
anne,3,['B' 'EH' 'T'],B_EH_T
anne,3,['B' 'EH' 'T' 'IY'],B_EH_T_IY
anne,3,['B' 'EY' 'K'],B_EY_K
anne,3,['D' 'AE' 'D'],D_AE_D
anne,3,['D' 'AE' 'N'],D_AE_N
anne,3,['D' 'AY'],D_AY
anne,3,['D' 'AY' 'D'],D_AY_D
anne,3,['D' 'IH' 'NG'],D_IH_NG
anne,3,['D' 'IH' 'R'],D_IH_R
anne,3,['D' 'IY'],D_IY
anne,3,['DH' 'AE' 'N'],DH_AE_N
anne,3,['DH' 'AE' 'T'],DH_AE_T
anne,3,['DH' 'AE' 'T' 'S'],DH_AE_T_S
anne,3,['DH' 'AH'],DH_AH
anne,3,['DH' 'EH' 'R'],DH_EH_R
anne,3,['DH' 'IY'],DH_IY
anne,3,['DH' 'OW'],DH_OW
anne,3,['HH' 'AE' 'N' 'D'],HH_AE_N_D
anne,3,['HH' 'AH' 'N' 'T'],HH_AH_N_T
anne,3,['HH' 'AY'],HH_AY
anne,3,['HH' 'AY' 'D'],HH_AY_D
anne,3,['HH' 'AY' 'T'],HH_AY_T
anne,3,['HH' 'IY'],HH_IY
anne,3,['HH' 'OW' 'Z'],HH_OW_Z
anne,3,['IY'],IY
anne,3,['K' 'EY' 'K'],K_EY_K
anne,3,['K' 'EY' 'K' 'S'],K_EY_K_S
anne,3,['K' 'IH' 'NG' 'S'],K_IH_NG_S
anne,3,['N' 'AH' 'N'],N_AH_N
anne,3,['N' 'IY'],N_IY
anne,3,['N' 'UW'],N_UW
anne,3,['OW' 'N'],OW_N
anne,3,['OW' 'OW'],OW_OW
anne,3,['T' 'AH' 'T'],T_AH_T
anne,3,['T' 'IY'],T_IY
anne,3,['T' 'OW'],T_OW
anne,3,['T' 'UW'],T_UW
anne,3,['W' 'AA'],W_AA
anne,3,['W' 'AH' 'N'],W_AH_N
anne,3,['W' 'AY'],W_AY
anne,3,['W' 'EH' 'N' 'T'],W_EH_N_T
anne,3,['W' 'EH' 'R'],W_EH_R
anne,3,['W' 'EH' 'T'],W_EH_T
anne,3,['W' 'IY'],W_IY
anne,3,['W' 'IY' 'T'],W_IY_T
anne,3,['Y' 'AO' 'R'],Y_AO_R
anne,4,['AA' 'AA'],AA_AA
anne,4,['AE' 'D'],AE_D
anne,4,['AE' 'K' 'S'],AE_K_S
anne,4,['AE' 'N' 'D' 'IY'],AE_N_D_IY
anne,4,['AE' 'N' 'T' 'IY'],AE_N_T_IY
anne,4,['AE' 'Z'],AE_Z
anne,4,['AH' 'S'],AH_S
anne,4,['AY' 'AH' 'N'],AY_AH_N
anne,4,['AY' 'AY'],AY_AY
anne,4,['AY' 'Z'],AY_Z
anne,4,['B' 'AE' 'K'],B_AE_K
anne,4,['B' 'AE' 'K' 'S'],B_AE_K_S
anne,4,['B' 'AO' 'L'],B_AO_L
anne,4,['B' 'EH' 'D'],B_EH_D
anne,4,['B' 'EH' 'N'],B_EH_N
anne,4,['B' 'EH' 'R'],B_EH_R
anne,4,['B' 'EH' 'R' 'AH' 'T'],B_EH_R_AH_T
anne,4,['B' 'EH' 'R' 'IY'],B_EH_R_IY
anne,4,['B' 'EH' 'S'],B_EH_S
anne,4,['B' 'EY'],B_EY
