id,stage,phon,phon_str
anne,1,['AA'],AA
anne,1,"['AA', 'N']",AA_N
anne,1,"['AA', 'N', 'T', 'UW']",AA_N_T_UW
anne,1,"['AA', 'R']",AA_R
anne,1,"['AA', 'R', 'AH', 'N', 'T']",AA_R_AH_N_T
anne,1,"['AE', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'IY']",AE_K_CH_AH_W_AH_L_IY
anne,1,"['AE', 'L', 'AH', 'S', 'T', 'EH', 'R']",AE_L_AH_S_T_EH_R
anne,1,"['AE', 'N']",AE_N
anne,1,"['AE', 'N', 'AH', 'M', 'AH', 'L', 'Z']",AE_N_AH_M_AH_L_Z
anne,1,"['AE', 'N', 'D']",AE_N_D
anne,1,"['AE', 'N', 'S']",AE_N_S
anne,1,"['AE', 'S', 'K']",AE_S_K
anne,1,"['AE', 'T']",AE_T
anne,1,"['AE', 'Z']",AE_Z
anne,1,"['AE', 'Z', 'W', 'EH', 'L']",AE_Z_W_EH_L
anne,1,['AH'],AH
anne,1,"['AH', 'B', 'AW', 'T']",AH_B_AW_T
anne,1,"['AH', 'CH', 'UW']",AH_CH_UW
anne,1,"['AH', 'DH', 'ER']",AH_DH_ER
anne,1,"['AH', 'DH', 'ER', 'Z']",AH_DH_ER_Z
anne,1,"['AH', 'G', 'EH', 'N']",AH_G_EH_N
anne,1,"['AH', 'G', 'OW']",AH_G_OW
anne,1,"['AH', 'HH', 'AH', 'M']",AH_HH_AH_M
anne,1,"['AH', 'M']",AH_M
anne,1,"['AH', 'N']",AH_N
anne,1,"['AH', 'N', 'AH', 'DH', 'ER']",AH_N_AH_DH_ER
anne,1,"['AH', 'N', 'AH', 'F']",AH_N_AH_F
anne,1,"['AH', 'N', 'D', 'UW']",AH_N_D_UW
anne,1,"['AH', 'P']",AH_P
anne,1,"['AH', 'P', 'AH', 'P', 'AH', 'P']",AH_P_AH_P_AH_P
anne,1,"['AH', 'P', 'AH', 'P', 'AH', 'P', 'AH', 'P']",AH_P_AH_P_AH_P_AH_P
anne,1,"['AH', 'P', 'S', 'T', 'EH', 'R', 'Z']",AH_P_S_T_EH_R_Z
anne,1,"['AH', 'S', 'L', 'IY', 'P']",AH_S_L_IY_P
anne,1,"['AH', 'V']",AH_V
anne,1,"['AH', 'W', 'EY']",AH_W_EY
anne,1,"['AO', 'F']",AO_F
anne,1,"['AO', 'L']",AO_L
anne,1,"['AO', 'R']",AO_R
anne,1,"['AO', 'R', 'AH', 'N', 'JH']",AO_R_AH_N_JH
anne,1,"['AO', 'R', 'D', 'ER']",AO_R_D_ER
anne,1,"['AW', 'ER']",AW_ER
anne,1,"['AW', 'T']",AW_T
anne,1,"['AW', 'T', 'S', 'AY', 'D']",AW_T_S_AY_D
anne,1,['AY'],AY
anne,1,"['AY', 'L']",AY_L
anne,1,"['AY', 'M']",AY_M
anne,1,"['AY', 'V']",AY_V
anne,1,"['AY', 'Z']",AY_Z
anne,1,"['B', 'AA', 'K', 'S']",B_AA_K_S
anne,1,"['B', 'AA', 'K', 'S', 'AH', 'Z']",B_AA_K_S_AH_Z
anne,1,"['B', 'AA', 'R']",B_AA_R
anne,1,"['B', 'AA', 'T']",B_AA_T
anne,1,"['B', 'AA', 'T', 'AH', 'L']",B_AA_T_AH_L
anne,1,"['B', 'AA', 'T', 'AH', 'M']",B_AA_T_AH_M
anne,1,"['B', 'AE', 'G']",B_AE_G
anne,1,"['B', 'AE', 'G', 'Z']",B_AE_G_Z
anne,1,"['B', 'AE', 'K']",B_AE_K
anne,1,"['B', 'AE', 'K', 'P', 'AE', 'K']",B_AE_K_P_AE_K
anne,1,"['B', 'AE', 'NG']",B_AE_NG
anne,1,"['B', 'AE', 'TH']",B_AE_TH
anne,1,"['B', 'AH', 'B', 'AH', 'L', 'Z']",B_AH_B_AH_L_Z
anne,1,"['B', 'AH', 'HH', 'AY', 'N', 'D']",B_AH_HH_AY_N_D
anne,1,"['B', 'AH', 'L', 'UW', 'N']",B_AH_L_UW_N
anne,1,"['B', 'AH', 'L', 'UW', 'N', 'Z']",B_AH_L_UW_N_Z
anne,1,"['B', 'AH', 'N', 'AE', 'N', 'AH']",B_AH_N_AE_N_AH
anne,1,"['B', 'AH', 'N', 'AE', 'N', 'AH', 'Z']",B_AH_N_AE_N_AH_Z
anne,1,"['B', 'AH', 'T']",B_AH_T
anne,1,"['B', 'AH', 'T', 'AH', 'N']",B_AH_T_AH_N
anne,1,"['B', 'AO', 'L']",B_AO_L
anne,1,"['B', 'AO', 'L', 'P', 'UW', 'L']",B_AO_L_P_UW_L
anne,1,"['B', 'AO', 'L', 'Z']",B_AO_L_Z
anne,1,"['B', 'AY']",B_AY
anne,1,"['B', 'AY', 'B', 'AY']",B_AY_B_AY
anne,1,"['B', 'AY', 'T']",B_AY_T
anne,1,"['B', 'AY', 'T', 'IH', 'NG']",B_AY_T_IH_NG
anne,1,"['B', 'EH', 'D']",B_EH_D
anne,1,"['B', 'EH', 'R']",B_EH_R
anne,1,"['B', 'EH', 'T']",B_EH_T
anne,1,"['B', 'EH', 'T', 'ER']",B_EH_T_ER
anne,1,"['B', 'ER', 'D', 'Z']",B_ER_D_Z
anne,1,"['B', 'EY', 'B', 'IY']",B_EY_B_IY
anne,1,"['B', 'EY', 'B', 'IY', 'Z']",B_EY_B_IY_Z
anne,1,"['B', 'IH', 'B']",B_IH_B
anne,1,"['B', 'IH', 'G']",B_IH_G
anne,1,"['B', 'IH', 'L', 'D']",B_IH_L_D
anne,1,"['B', 'IH', 'N']",B_IH_N
anne,1,"['B', 'IH', 'S', 'K', 'AH', 'T']",B_IH_S_K_AH_T
anne,1,"['B', 'IH', 'S', 'K', 'AH', 'T', 'S']",B_IH_S_K_AH_T_S
anne,1,"['B', 'IH', 'T']",B_IH_T
anne,1,"['B', 'IH', 'T', 'S']",B_IH_T_S
anne,1,"['B', 'IY']",B_IY
anne,1,"['B', 'IY', 'IH', 'NG']",B_IY_IH_NG
anne,1,"['B', 'IY', 'N', 'Z']",B_IY_N_Z
anne,1,"['B', 'L', 'OW', 'IH', 'NG']",B_L_OW_IH_NG
anne,1,"['B', 'L', 'UW']",B_L_UW
anne,1,"['B', 'L', 'UW', 'Z']",B_L_UW_Z
anne,1,"['B', 'OW', 'L']",B_OW_L
anne,1,"['B', 'OW', 'T']",B_OW_T
anne,1,"['B', 'OW', 'TH']",B_OW_TH
anne,1,"['B', 'OY']",B_OY
anne,1,"['B', 'OY', 'Z']",B_OY_Z
anne,1,"['B', 'R', 'AH', 'M']",B_R_AH_M
anne,1,"['B', 'R', 'AH', 'SH']",B_R_AH_SH
anne,1,"['B', 'R', 'AH', 'SH', 'T']",B_R_AH_SH_T
anne,1,"['B', 'R', 'EH', 'D']",B_R_EH_D
anne,1,"['B', 'R', 'EY', 'K']",B_R_EY_K
